Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Max. Rack,Burn Fitness,314900.00,314900.00,,<div class="std">        <p>L X W X H: 960 X 710 X 1086 (mm)</p><p>                       37.8 X 28 X 42.8(in)</p><p> </p><p>PRODUCT WEIGHT: 199.4Kg/440Lbs</p>    </div>,BURNSFBF7033,BURNSF,gym-equipments,Max. Rack,8-13 Working Days,100,N,-190,Get your hands on the Max. Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Max. Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Max. Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7033.jpg,
Product,Chest Press,Burn Fitness,153900.00,153900.00,,<div class="std">        <p>-L X W X H:913 X 1265 X 1400 (mm)<br>                        36 X 50 X 55 (in)</p><p>-N.W.:92kg  </p><p>-40':77 sets </p>    </div>,BURNSFBF8101,BURNSF,gym-equipments,Chest Press,8-13 Working Days,100,N,-190,Get your hands on the Chest Press. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Chest Press Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8101_1.jpg,
Product,Lat Pulldown Low Row,Burn Fitness,179900.00,179900.00,,<div class="std">        <p>-L X W X H:1972 X 913 X 2177 (mm)<br>                           78 X 36 X 86 (in)</p><p>-N.W.:101 kgs</p><p>-40': 70 sets</p>    </div>,BURNSFBF8102,BURNSF,gym-equipments,Lat Pulldown Low Row,8-13 Working Days,100,N,-190,Get your hands on the Lat Pulldown Low Row. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Lat Pulldown Low Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Lat Pulldown Low Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8102.jpg,
Product,Bicep Tricep,Burn Fitness,149900.00,149900.00,,<div class="std">        <p>-L X W X H:1270 X 860 X 2120 (mm)<br>                            50 X 34 X 84 (in)</p><p>-N.W.:80kgs</p>    </div>,BURNSFBF8123,BURNSF,gym-equipments,Bicep Tricep,8-13 Working Days,100,N,-190,Get your hands on the Bicep Tricep. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Bicep Tricep Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Bicep Tricep Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8123.jpg,
Product,Ab Back,Burn Fitness,144900.00,144900.00,,<div class="std">        <p>-L X W X H:1217 X 1057 X 1400 (mm)<br>                         48 X 42 X 55 (in)</p><p>-N.W.:79.5kgs</p><p>-40': 94 sets</p>    </div>,BURNSFBF8124,BURNSF,gym-equipments,Ab Back,8-13 Working Days,100,N,-190,Get your hands on the Ab Back. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ab Back Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ab Back Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8124.jpg,
Product,Inner Outer Thigh,Burn Fitness,165900.00,165900.00,,<div class="std">        <p>-L X W X H:1643 X 697 X 1506 (mm)<br>                          65 X 27 X 59 (in)</p><p>-N.W.:98kgs</p><p>-40': 85 sets</p>    </div>,BURNSFBF8116,BURNSF,gym-equipments,Inner Outer Thigh,8-13 Working Days,100,N,-190,Get your hands on the Inner Outer Thigh. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Inner Outer Thigh Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Inner Outer Thigh Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8116.jpg,
Product,Multi Hip Total Hip,Burn Fitness,159900.00,159900.00,,<div class="std">        <p>-L X W X H:1208 X 1005 X 1480 (mm)<br>                         48 X 40 X 58 (in)</p><p>-N.W.: 89 kgs</p><p>-40': 100 sets</p>    </div>,BURNSFBF8109,BURNSF,gym-equipments,Multi Hip Total Hip,8-13 Working Days,100,N,-190,Get your hands on the Multi Hip Total Hip. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Multi Hip Total Hip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Multi Hip Total Hip Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8109.jpg,
Product,Full Power Rack,Burn Fitness,179900.00,179900.00,,<div class="std">        <p>-L X W X H:1389.5 X 1747 X 2442.3 mm</p><p>-N.W.:141Kg</p><p>-40':108sets</p>    </div>,BURNSFBF7015,BURNSF,gym-equipments,Full Power Rack,8-13 Working Days,100,N,-190,Get your hands on the Full Power Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Full Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Full Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7015.jpg,
Product,Half Power Rack,Burn Fitness,135900.00,135900.00,,<div class="std">        <p>-L X W X H:1389.5 X 1747 X 2442.3 mm</p><p>-N.W.:141Kg</p><p>-40':108sets</p>    </div>,BURNSFBF7014,BURNSF,gym-equipments,Half Power Rack,8-13 Working Days,100,N,-190,Get your hands on the Half Power Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Half Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Half Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7014.jpg,
Product,Glute Ham Bench,Burn Fitness,87900.00,87900.00,,<div class="std">        <p>-L X W X H:1562 X 914 X 1477 mm</p><p>-N.W.:63Kg</p><p>-40':105sets</p>    </div>,BURNSFBF7013,BURNSF,gym-equipments,Glute Ham Bench,8-13 Working Days,100,N,-190,Get your hands on the Glute Ham Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Glute Ham Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Glute Ham Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7013.jpg,
Product,Plate Rack,Burn Fitness,46900.00,46900.00,,<div class="std">        <p>-L X W X H: 900 X 638 X 1238 mm</p><p>-N.W.:37Kg</p><p>-40':242sets</p>    </div>,BURNSFBF7010,BURNSF,gym-equipments,Plate Rack,8-13 Working Days,100,N,-190,Get your hands on the Plate Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Plate Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Plate Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7010_1.jpg,
Product,Power Cage Accessories,Burn Fitness,58900.00,58900.00,,<div class="std">        <p>-L X W X H: 717 X 1675 X 2199 mm</p><p>-N.W.: 68Kg</p><p>-40':144sets</p>    </div>,BURNSFBF7009OPT,BURNSF,gym-equipments,Power Cage Accessories,8-13 Working Days,100,N,-190,Get your hands on the Power Cage Accessories. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Power Cage Accessories Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Power Cage Accessories Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7009opt.jpg,
Product,Low Row,Burn Fitness,191900.00,191900.00,,<div class="std">        <p>COMMERCIAL PLATE LOADED SERIES</p><p>-L x W x H:1761 X 1457 X 1652 mm</p><p>-N.W.:173Kg</p><p>-40':69sets </p><p>-MAX WEIGHT CAPACITY:300Kg/660Lbs</p>    </div>,BURNSFBFS7004,BURNSF,gym-equipments,Low Row,8-13 Working Days,100,N,-190,Get your hands on the Low Row. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Low Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Low Row Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7004.jpg,
Product,Fid Bench,Burn Fitness,59900.00,59900.00,,<div class="std">        <p>-L X W X H:1550 X 670 X 1350 mm</p><p>-N.W.:48Kg</p><p>-40':252sets</p>    </div>,BURNSFBFS7012,BURNSF,gym-equipments,Fid Bench,8-13 Working Days,100,N,-190,Get your hands on the Fid Bench. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Fid Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Fid Bench Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfs7012.jpg,
Product,Power Rack,Burn Fitness,202900.00,202900.00,,<div class="std">        <p>-L X W X H: 2031 X 1449 X 2278 mm</p><p>-N.W.: 222Kg</p><p>-40':82sets</p>    </div>,BURNSFBF7009,BURNSF,gym-equipments,Power Rack,8-13 Working Days,100,N,-190,Get your hands on the Power Rack. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Power Rack Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf7009.jpg,
Product,Spinning Bike BF-8920,Burn Fitness,30990.00,30990.00,,<div class="std">        <table style="width: 558px;" border="0"><colgroup><col> <col> </colgroup><tbody><tr><td class="xl65">Model</td><td class="xl66">: BF8920</td></tr><tr><td class="xl67">Description</td><td class="xl68">: Spinning Bike</td></tr><tr><td class="xl69">FEATURE</td><td class="xl68"> </td></tr><tr><td class="xl70">Advantage</td><td class="xl68">: Elite Design for Better Result</td></tr><tr><td class="xl70">Heart Rate</td><td class="xl68">: NA</td></tr><tr><td class="xl70">Handle Bar</td><td class="xl68">: Advance Design with Cushion</td></tr><tr><td class="xl70">Crank Design</td><td class="xl68">: 3 Piece</td></tr><tr><td class="xl70">Seat Adjustment</td><td class="xl68">: Vertical &amp; Horizontal</td></tr><tr><td class="xl69">RESISTANCE SYSTEM</td><td class="xl68"> </td></tr><tr><td class="xl70">Tension Control</td><td class="xl68">: Chain Drive; Micro-Adjust Tension Knob</td></tr><tr><td class="xl70">Resistance Level</td><td class="xl71">: Adjustable</td></tr><tr><td class="xl70">Added Function</td><td class="xl68">: 15kg Fly Wheel</td></tr><tr><td class="xl69">CONSOLE</td><td class="xl68"> </td></tr><tr><td class="xl70">Display Type</td><td class="xl68">: NA</td></tr><tr><td class="xl70">Display Feedback</td><td class="xl68">: NA</td></tr><tr><td class="xl70">Programs</td><td class="xl68">: NA</td></tr><tr><td class="xl69">TECHNICAL SPECIFICATION</td><td class="xl68"> </td></tr><tr><td class="xl72">Product Dimention<br> (L x W x H)</td><td class="xl73">: 123 x 54 x 118cm</td></tr><tr><td class="xl72">Package Dimention<br> (L x W x H)</td><td class="xl73">: 115.5 x 25.5 x 88.5cm</td></tr><tr><td class="xl70">G.W. / N.W.</td><td class="xl68">: 47.5kg / 42kg</td></tr><tr><td class="xl74">Maximum User Weight</td><td class="xl75">: 110kg / 242lbs</td></tr></tbody></table>    </div>,BURNSFBF8920,BURNSF,home-equipments,Spinning Bike BF-8920,8-13 Working Days,100,N,-190,Get your hands on the Spinning Bike BF-8920. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Spinning Bike BF-8920 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Spinning Bike BF-8920 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8920.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8920_a.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8920_b.jpg,
Product,Magnetic Elliptical Bike BF-8706HA-6,Burn Fitness,28790.00,28790.00,,<div class="std">        <table style="width: 594px;" border="0"><colgroup><col> <col> </colgroup><tbody><tr><td class="xl63">Model</td><td class="xl64">: BF8706HA-6</td></tr><tr><td class="xl65">Description</td><td class="xl66">: Magnetic Elliptical Trainer</td></tr><tr><td class="xl67">FEATURE</td><td class="xl66"> </td></tr><tr><td class="xl68">Advantage</td><td class="xl66">: Dual Action Elliptical Trainer with Adj. Seat &amp; Pedal</td></tr><tr><td class="xl68">Heart Rate</td><td class="xl66">: Contact Grip</td></tr><tr><td class="xl68">Handle Bar</td><td class="xl66">: Dual Handle Bar with Soft Cushion</td></tr><tr><td class="xl68">Seat Adjustment</td><td class="xl66">: Vertical &amp; Horizontal</td></tr><tr><td class="xl67">RESISTANCE SYSTEM</td><td class="xl66"> </td></tr><tr><td class="xl68">Tension Control</td><td class="xl66">: Magnetic</td></tr><tr><td class="xl68">Resistance Level</td><td class="xl69">: 1 - 8 Level</td></tr><tr><td class="xl68">Added Function</td><td class="xl66">: 5.5kg Fly Wheel</td></tr><tr><td class="xl67">CONSOLE</td><td class="xl66"> </td></tr><tr><td class="xl68">Display Type</td><td class="xl66">: 1 LCD Window</td></tr><tr><td class="xl68">Display Feedback</td><td class="xl66">: Time; Speed; Distance; Calories; Odo. &amp; Pulse</td></tr><tr><td class="xl68">Programs</td><td class="xl66">: Manual</td></tr><tr><td class="xl67">TECHNICAL SPECIFICATION</td><td class="xl66"> </td></tr><tr><td class="xl70">Product Dimention<br> (L x W x H)</td><td class="xl71">: 124 x 64 x 166cm</td></tr><tr><td class="xl70">Package Dimention<br> (L x W x H)</td><td class="xl71">: 119 x 44.5 x 64cm</td></tr><tr><td class="xl68">G.W. / N.W.</td><td class="xl66">: 48.2kg / 40.9kg</td></tr><tr><td class="xl72">Maximum User Weight</td><td class="xl73">: 110kg / 242lbs</td></tr></tbody></table>    </div>,BURNSFBF8706HA6,BURNSF,home-equipments,Magnetic Elliptical Bike BF-8706HA-6,8-13 Working Days,100,N,-190,Get your hands on the Magnetic Elliptical Bike BF-8706HA-6. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Magnetic Elliptical Bike BF-8706HA-6 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Magnetic Elliptical Bike BF-8706HA-6 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/5/0/500063_main.jpeg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/5/0/500063_other_1.jpeg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8706ha-6_b.jpg,
Product,Mini Bike-DX,Burn Fitness,4490.00,4490.00,,<div class="std">        <p>It's a portable machine that is suitable for upper and lower body exercise; especially for arms and legs exercises. With its stable frame and non-slip feet; you can enjoy your exercise while you are playing computer; watching TV or at work. Also; there is a resistance knob which could adjust the strap resistance according to your physical strength. Besides; it has a multi function LCD display that will change automatically after a couple of seconds; then you can keep track of the time; distance; number of exercise and the total estimated calorie consumption. This pedal exercise is ideal for users of all ages and beneficial for improving cardiovascular function; promoting the blood circulation; etc. <br><br>Features:<br><br></p><ul><li>Lightweight design; portable and easy to assemble</li></ul><ul><li> Ideal for family entertainment and all ages of users</li></ul><ul><li>Versatile for both legs and arms exercises</li></ul><ul><li>Sturdy frame and non-slip feet for safety and efficient</li></ul><ul><li>Comfortable pedal straps to keep your feet in place</li></ul><ul><li>Adjustable Resistance knob to meet different physical condition</li></ul><ul><li>Multi function LCD monitor displays time; distance; total count and calorie</li></ul><ul><li>Beneficial for increasing increase strength and improving coordination as well as circulation</li></ul><p>Display: Multi function LCD monitor displays time; distance; total count and calorie</p><p>Dimensions:</p><p>W X D X H: 16" X 13 4/5" X 12 3/5"</p><p>Max User Weight: 100kg</p><p> </p><p> </p>    </div>,BURNSFBF001P,BURNSF,home-equipments,Mini Bike-DX,8-13 Working Days,100,N,-190,Get your hands on the Mini Bike-DX. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Mini Bike-DX Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Mini Bike-DX Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf001p.jpg;http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf001p_a.jpg,
